i,game,blueprintId,text,options,generator_v3,pairScore,lowPair,slotsCount,wordCount,repeatRatio,short,long,abEqual,hasPlaceholders
0,POISON_PITCH,"poison_pitch_blueprint_1","Would you rather live with never hit traffic or survive a pet that sheds emotional baggage and fur?","AB(optionA=never hit traffic, optionB=a pet that sheds emotional baggage and fur)",true,0.7,false,2,18,0.06,false,false,false,false
1,POISON_PITCH,"poison_pitch_blueprint_1","Would you rather live with instant laundry folding or survive a pet that sheds emotional baggage and fur?","AB(optionA=instant laundry folding, optionB=a pet that sheds emotional baggage and fur)",true,0.7,false,2,18,0.06,false,false,false,false
2,POISON_PITCH,"poison_pitch_blueprint_1","Would you rather live with perfect selfie lighting everywhere or survive a pet that sheds emotional baggage and fur?","AB(optionA=perfect selfie lighting everywhere, optionB=a pet that sheds emotional baggage and fur)",true,0.7,false,2,19,0.05,false,false,false,false
3,POISON_PITCH,"poison_pitch_blueprint_1","Would you rather live with perfect eyebrows always or survive a pet that sheds emotional baggage and fur?","AB(optionA=perfect eyebrows always, optionB=a pet that sheds emotional baggage and fur)",true,0.7,false,2,18,0.06,false,false,false,false
4,POISON_PITCH,"poison_pitch_blueprint_1","Would you rather live with never forget a birthday or survive a pet that sheds emotional baggage and fur?","AB(optionA=never forget a birthday, optionB=a pet that sheds emotional baggage and fur)",true,0.7,false,2,19,0.11,false,false,false,false
5,POISON_PITCH,"poison_pitch_blueprint_1","Would you rather live with always find your keys or survive a garbage disposal with trust issues?","AB(optionA=always find your keys, optionB=a garbage disposal with trust issues)",true,0.7,false,2,17,0.12,false,false,false,false
6,POISON_PITCH,"poison_pitch_blueprint_1","Would you rather live with a perfect pitch singing voice or survive a pet that sheds emotional baggage and fur?","AB(optionA=a perfect pitch singing voice, optionB=a pet that sheds emotional baggage and fur)",true,0.7,false,2,20,0.10,false,false,false,false
7,POISON_PITCH,"poison_pitch_blueprint_1","Would you rather live with never lose your wallet or survive a garbage disposal with trust issues?","AB(optionA=never lose your wallet, optionB=a garbage disposal with trust issues)",true,0.7,false,2,17,0.12,false,false,false,false
8,POISON_PITCH,"poison_pitch_blueprint_1","Would you rather live with unlimited gym motivation or survive a pet that sheds emotional baggage and fur?","AB(optionA=unlimited gym motivation, optionB=a pet that sheds emotional baggage and fur)",true,0.7,false,2,18,0.06,false,false,false,false
9,POISON_PITCH,"poison_pitch_blueprint_1","Would you rather live with never forget a birthday or survive a pet that sheds emotional baggage and fur?","AB(optionA=never forget a birthday, optionB=a pet that sheds emotional baggage and fur)",true,0.7,false,2,19,0.11,false,false,false,false
